路段ID,路段长度(m),所属连通分量,风险扩散分数,是否为案发点所在分量,风险扩散分数(全网排序)
790,1215.9,2,1.5912994192505276e-06,True,439
565,1685.1,2,1.164604273945221e-06,True,440
585,1558.4,2,1.156665673320885e-06,True,441
984,41.7,2,1.1221126262430075e-06,True,442
698,1699.9,2,1.0932457920158406e-06,True,443
1056,87.6,2,8.823021221884496e-07,True,444
1004,849.5,2,8.402735845901611e-07,True,445
957,238.9,2,8.182368341286287e-07,True,446
955,238.9,2,8.177268668980367e-07,True,447
1219,323.3,2,7.925398357216844e-07,True,448
1216,363.4,2,7.919293087591781e-07,True,449
571,618.7,2,7.662148547341415e-07,True,450
598,81.7,2,7.613670388675933e-07,True,451
87,878.5,2,7.563779220363295e-07,True,452
1150,998.9,71,7.525572145272956e-07,True,453
1082,233.2,2,6.962562775936539e-07,True,454
1245,140.6,2,6.406482066260999e-07,True,455
1246,142.6,2,6.324586237186761e-07,True,456
1213,337.2,2,5.867989094639943e-07,True,457
1211,390.0,2,5.713023338349234e-07,True,458
1073,135.5,2,5.453561788380243e-07,True,459
1072,335.2,2,4.715876428253224e-07,True,460
1034,60.1,2,4.5250270389097476e-07,True,461
568,865.3,2,4.314878950599943e-07,True,462
1027,309.8,2,4.0184427361723857e-07,True,463
1029,27.8,2,3.685959323524142e-07,True,464
1111,299.7,2,3.4674441997605796e-07,True,465
145,822.7,2,3.018948980079025e-07,True,466
370,625.8,2,2.974788605343112e-07,True,467
369,625.4,2,2.974358639060628e-07,True,468
1015,443.7,2,2.44667832877614e-07,True,469
1016,466.2,2,2.2402922598856953e-07,True,470
1054,91.0,2,2.233231661824059e-07,True,471
63,5117.8,2,2.1084153693045612e-07,True,472
62,5116.5,2,2.108415340139955e-07,True,473
1077,75.7,2,1.9304640056259805e-07,True,474
286,3843.7,2,1.8121490129551998e-07,True,475
157,637.4,2,1.63424863377995e-07,True,476
1143,387.2,2,1.6231069109058323e-07,True,477
1147,228.4,2,1.5551282841072634e-07,True,478
152,786.6,2,1.554307448595396e-07,True,479
1060,285.9,2,1.461079529490774e-07,True,480
1214,636.0,2,1.0045402357510657e-07,True,481
1217,683.6,2,9.98213216196739e-08,True,482
951,136.5,2,8.804275565440087e-08,True,483
954,134.7,2,8.781009738192081e-08,True,484
287,4184.8,2,8.347223703641182e-08,True,485
1078,116.5,2,7.60600568225332e-08,True,486
1014,309.3,2,7.459756807088927e-08,True,487
86,384.4,2,6.496226438768427e-08,True,488
1215,194.4,2,6.3143342759214e-08,True,489
1218,200.9,2,6.15633497930017e-08,True,490
1146,236.7,2,6.110778555145848e-08,True,491
1043,389.6,2,5.867870927951465e-08,True,492
1044,288.8,2,5.4144154566314695e-08,True,493
1144,202.8,2,5.30149101566517e-08,True,494
1148,203.2,2,5.28164452570203e-08,True,495
1045,52.4,2,5.0678943193299435e-08,True,496
1057,619.7,2,4.574926302365116e-08,True,497
158,145.8,2,4.071007948715688e-08,True,498
1042,304.4,2,3.03852417401609e-08,True,499
1071,283.2,2,3.0234056087811524e-08,True,500
1145,193.6,2,2.993690862173949e-08,True,501
1010,673.0,2,2.953850941891303e-08,True,502
1059,247.5,2,2.858284850417478e-08,True,503
952,1974.9,2,2.733989485578593e-08,True,504
1002,347.4,2,2.5997344946838427e-08,True,505
1130,691.3,2,2.1293012455529506e-08,True,506
1013,341.3,2,2.0852093803513248e-08,True,507
1129,744.2,2,2.05300733873288e-08,True,508
953,1530.3,2,1.987317526768497e-08,True,509
977,344.1,2,1.9370305827211862e-08,True,510
1009,1984.1,2,1.8038372914314394e-08,True,511
84,378.5,2,1.7027634187500905e-08,True,512
85,378.1,2,1.702447979558264e-08,True,513
1003,1002.2,2,1.1527080390346005e-08,True,514
1007,304.2,2,1.1152055391704883e-08,True,515
1005,305.3,2,1.1121147878128891e-08,True,516
1074,89.5,2,1.0882584672387195e-08,True,517
1040,137.9,2,1.0408562523870644e-08,True,518
1000,220.0,2,9.595659496046634e-09,True,519
1001,219.7,2,9.588927170970789e-09,True,520
1041,124.2,2,9.01209448193663e-09,True,521
1075,204.3,2,8.959593215989499e-09,True,522
1058,622.3,2,8.896345764285686e-09,True,523
978,146.8,2,8.264829088482582e-09,True,524
88,727.5,2,6.56283118614685e-09,True,525
202,727.3,2,6.562736251357025e-09,True,526
100,490.2,2,6.246409618204384e-09,True,527
1032,735.8,2,5.293168993928102e-09,True,528
1026,1602.9,2,3.952082591498244e-09,True,529
155,723.0,2,3.5365673355126027e-09,True,530
159,326.1,2,3.4376015003301214e-09,True,531
1080,207.0,2,3.0786291574342075e-09,True,532
82,10409.1,2,2.887869135516109e-09,True,533
83,10413.8,2,2.887869135516109e-09,True,533
204,639.4,2,2.6590377537808404e-09,True,535
203,639.7,2,2.658657794481402e-09,True,536
1008,260.2,2,2.6217371368213726e-09,True,537
1006,260.9,2,2.618727641057185e-09,True,538
1079,735.7,2,1.5953997052951136e-09,True,539
154,891.2,2,1.4448839853796922e-09,True,540
1104,66.2,2,1.3703886123915556e-09,True,541
1047,748.2,2,1.1840496408039045e-09,True,542
195,905.1,2,8.867602265363868e-10,True,543
194,905.5,2,8.867569151836555e-10,True,544
1099,74.8,2,5.069134121476753e-10,True,545
1277,143.7,2,4.955484066862733e-10,True,546
1106,170.0,2,4.930017604586542e-10,True,547
205,959.7,2,3.148675915167825e-10,True,548
206,953.4,2,3.1452742225741894e-10,True,549
1065,181.0,2,3.0505165573032177e-10,True,550
199,463.7,2,3.002986019072541e-10,True,551
1098,129.0,2,2.1194277244932665e-10,True,552
193,208.3,2,7.641799233445537e-11,True,553
932,157.2,2,7.409058203831322e-11,True,554
931,39.3,2,7.236638660968223e-11,True,555
184,424.1,2,6.17454822940472e-11,True,556
930,179.5,2,5.98115010883392e-11,True,557
1094,595.1,2,5.273288289099054e-11,True,558
188,543.5,2,4.911402549447103e-11,True,559
933,0.6,2,3.405938628987998e-11,True,560
935,9.2,2,3.401744589444572e-11,True,561
934,16.3,2,3.3895718772980595e-11,True,562
1095,507.8,2,2.9874859119307914e-11,True,563
78,170.0,2,2.082347690092721e-11,True,564
77,85.1,2,2.0794170385993448e-11,True,565
76,86.8,2,2.0759981049965687e-11,True,566
75,171.2,2,2.044498045559136e-11,True,567
79,199.1,2,1.9310069766195594e-11,True,568
74,193.4,2,1.9264751548346192e-11,True,569
73,193.9,2,1.8924514201728248e-11,True,570
937,68.4,2,1.7318295405359025e-11,True,571
196,667.5,2,1.4585617421902723e-11,True,572
185,583.4,2,1.4506152084074486e-11,True,573
940,491.1,2,1.1879435413971068e-11,True,574
191,343.4,2,7.132109791279569e-12,True,575
936,33.2,2,6.536223421589665e-12,True,576
938,103.7,2,6.533473086521057e-12,True,577
1157,157.4,2,6.240270529177867e-12,True,578
182,172.7,2,6.143749625025781e-12,True,579
183,334.8,2,5.827916785545281e-12,True,580
197,582.3,2,5.111958218086431e-12,True,581
1096,464.4,2,5.076115275519844e-12,True,582
192,616.7,2,4.8519485824059024e-12,True,583
198,886.1,2,4.118213337222605e-12,True,584
190,1048.8,2,2.9110270769729997e-12,True,585
939,225.5,2,2.021434883091953e-12,True,586
186,389.6,2,1.9683387136903344e-12,True,587
189,596.4,2,1.8336005132231635e-12,True,588
1097,452.8,2,1.582948491565707e-12,True,589
1087,44.0,2,8.936632631237085e-13,True,590
187,330.4,2,7.740747428345979e-13,True,591
249,1812.7,2,5.711846396082385e-13,True,592
250,1808.0,2,5.711826038741686e-13,True,593
246,1977.7,2,4.3115814108855657e-13,True,594
943,290.8,2,3.204313301998678e-13,True,595
305,42.8,74,0.0,False,953
304,108.2,74,0.0,False,953
541,236.7,147,0.0,False,953
540,327.4,146,0.0,False,953
539,2470.9,119,0.0,False,953
538,271.8,145,0.0,False,953
537,1477.1,146,0.0,False,953
536,472.0,145,0.0,False,953
532,191.0,143,0.0,False,953
531,275.5,142,0.0,False,953
530,237.4,141,0.0,False,953
335,120.2,25,0.0,False,953
334,1010.5,25,0.0,False,953
333,1009.9,25,0.0,False,953
298,286.5,72,0.0,False,953
295,2343.2,70,0.0,False,953
294,2349.1,70,0.0,False,953
293,114.3,70,0.0,False,953
292,114.6,70,0.0,False,953
291,3819.7,70,0.0,False,953
290,3825.2,70,0.0,False,953
553,313.2,149,0.0,False,953
547,1913.9,101,0.0,False,953
546,433.9,108,0.0,False,953
319,299.3,78,0.0,False,953
318,581.8,78,0.0,False,953
317,145.8,77,0.0,False,953
316,192.9,76,0.0,False,953
315,51.0,75,0.0,False,953
275,661.0,64,0.0,False,953
274,377.0,63,0.0,False,953
273,365.6,63,0.0,False,953
272,4308.9,24,0.0,False,953
570,380.0,150,0.0,False,953
303,147.3,74,0.0,False,953
302,281.0,74,0.0,False,953
301,84.3,74,0.0,False,953
300,42.8,74,0.0,False,953
299,472.6,73,0.0,False,953
596,415.8,152,0.0,False,953
594,79.5,152,0.0,False,953
592,98.3,152,0.0,False,953
285,1718.1,69,0.0,False,953
284,1718.8,69,0.0,False,953
283,2483.0,69,0.0,False,953
282,1865.9,68,0.0,False,953
281,1978.5,67,0.0,False,953
280,1495.4,66,0.0,False,953
279,1495.6,66,0.0,False,953
278,454.5,66,0.0,False,953
277,567.9,65,0.0,False,953
276,661.0,64,0.0,False,953
266,213.9,24,0.0,False,953
265,1524.9,24,0.0,False,953
264,1187.0,24,0.0,False,953
263,441.8,24,0.0,False,953
262,336.4,24,0.0,False,953
261,1666.2,62,0.0,False,953
260,1941.2,61,0.0,False,953
259,1941.0,61,0.0,False,953
258,89.8,60,0.0,False,953
257,113.4,59,0.0,False,953
256,3146.3,58,0.0,False,953
607,197.0,154,0.0,False,953
606,972.5,153,0.0,False,953
597,422.7,152,0.0,False,953
626,209.3,25,0.0,False,953
625,243.5,25,0.0,False,953
623,2543.2,159,0.0,False,953
622,2537.8,159,0.0,False,953
621,1910.2,158,0.0,False,953
620,105.2,157,0.0,False,953
619,345.5,156,0.0,False,953
617,371.7,156,0.0,False,953
613,598.6,111,0.0,False,953
612,158.0,155,0.0,False,953
608,197.0,154,0.0,False,953
271,4350.1,24,0.0,False,953
270,213.5,24,0.0,False,953
269,1524.4,24,0.0,False,953
268,350.1,24,0.0,False,953
267,349.4,24,0.0,False,953
644,415.3,25,0.0,False,953
643,377.2,25,0.0,False,953
642,363.1,156,0.0,False,953
641,306.3,156,0.0,False,953
640,1404.3,25,0.0,False,953
639,1423.2,25,0.0,False,953
638,142.7,25,0.0,False,953
637,474.6,25,0.0,False,953
636,320.6,25,0.0,False,953
635,307.2,25,0.0,False,953
634,98.0,25,0.0,False,953
633,752.5,25,0.0,False,953
632,135.8,25,0.0,False,953
630,320.6,25,0.0,False,953
629,343.0,25,0.0,False,953
627,209.6,25,0.0,False,953
244,342.1,53,0.0,False,953
243,179.1,55,0.0,False,953
242,184.7,55,0.0,False,953
241,418.3,55,0.0,False,953
240,518.7,55,0.0,False,953
655,649.5,156,0.0,False,953
654,249.1,156,0.0,False,953
653,497.6,156,0.0,False,953
652,388.3,25,0.0,False,953
651,462.1,25,0.0,False,953
650,119.4,25,0.0,False,953
649,272.3,160,0.0,False,953
648,597.6,25,0.0,False,953
647,706.7,25,0.0,False,953
646,257.7,25,0.0,False,953
645,380.2,25,0.0,False,953
674,2111.7,156,0.0,False,953
673,791.8,156,0.0,False,953
666,623.8,25,0.0,False,953
661,86.0,162,0.0,False,953
656,272.7,161,0.0,False,953
255,3160.5,58,0.0,False,953
254,94.7,44,0.0,False,953
